10.1007/s00431-011-1474-x	0340-6199
10.1007/s00431-011-1509-3	0340-6199
10.1007/s00431-011-1547-x	0340-6199
10.1007/s00431-011-1576-5	0340-6199
10.1007/s00431-011-1655-7	0340-6199
10.1007/s00431-012-1687-7	0340-6199
10.1007/s00431-013-1949-z	0340-6199
10.1007/s00431-013-2007-6	0340-6199
10.1007/s00431-013-2013-8	0340-6199
10.1007/s00431-013-2140-2	0340-6199
10.1007/s00431-013-2160-y	0340-6199
10.1007/s00431-013-2174-5	0340-6199
10.1007/s00431-013-2189-y	0340-6199
10.1007/s00431-013-2223-0	0340-6199
10.1007/s00431-014-2357-8	0340-6199
10.1007/s00431-014-2422-3	0340-6199
10.1007/s00431-014-2455-7	0340-6199
10.1007/s00431-015-2668-4	0340-6199
10.1007/s00431-015-2689-z	0340-6199
10.1007/s00431-016-2799-2	0340-6199
10.1007/s00431-017-2908-x	0340-6199
10.1007/s004310000646	0340-6199
10.1007/s004310000706	0340-6199
10.1007/s004310050542	0340-6199
10.1007/s004310050625	0340-6199
10.1007/s004310050640	0340-6199
10.1007/s004310050650	0340-6199
10.1007/s004310050695	0340-6199
10.1007/s004310050730	0340-6199
10.1007/s004310050830	0340-6199
10.1007/s004310050862	0340-6199
10.1007/s004310050911	0340-6199
10.1007/s004310050937	0340-6199
10.1007/s004310050967	0340-6199
10.1007/s004310051009	0340-6199
10.1007/s004310051024	0340-6199
10.1007/s004310051232	0340-6199
10.1007/s004310100775	0340-6199
10.1007/s004310100788	0340-6199
10.1007/s00432-002-0387-5	0171-5216
10.1007/s00432-002-0392-8	0171-5216
10.1007/s00432-003-0415-0	null
10.1007/s00432-003-0431-0	null
10.1007/s00432-003-0469-z	0171-5216
10.1007/s00432-003-0484-0	0171-5216
10.1007/s00432-003-0498-7	0171-5216
10.1007/s00432-003-0514-y	0171-5216
10.1007/s00432-003-0519-6	0171-5216
10.1007/s00432-004-0595-2	0171-5216
10.1007/s00432-004-0629-9	0171-5216
10.1007/s00432-004-0638-8	0171-5216
